,R,G,B,hist,framenum,frameName
3,22.9770114943,14.9310344828,13.0229885057,0.087,26.0,monstruo/monstruo-026.png
4,29.2954545455,19.0454545455,16.3863636364,0.044,26.0,monstruo/monstruo-026.png
5,36.7333333333,26.4,22.4666666667,0.015,26.0,monstruo/monstruo-026.png
6,45.2,36.0,37.8,0.005,26.0,monstruo/monstruo-026.png
7,24.5,57.5,99.0,0.002,26.0,monstruo/monstruo-026.png
0,15.0808383234,8.02395209581,7.09580838323,0.334,27.0,monstruo/monstruo-027.png
1,16.9290322581,10.6096774194,8.06774193548,0.31,27.0,monstruo/monstruo-027.png
2,11.8598726115,5.85350318471,5.11464968153,0.157,27.0,monstruo/monstruo-027.png
3,23.128440367,14.880733945,12.1467889908,0.109,27.0,monstruo/monstruo-027.png
4,28.0784313725,18.137254902,15.137254902,0.051,27.0,monstruo/monstruo-027.png
5,33.1363636364,23.5454545455,20.6818181818,0.022,27.0,monstruo/monstruo-027.png
6,42.0714285714,32.2857142857,28.6428571429,0.014,27.0,monstruo/monstruo-027.png
7,60.0,48.6666666667,42.6666666667,0.003,27.0,monstruo/monstruo-027.png
0,12.4627329193,6.86956521739,6.24534161491,0.322,28.0,monstruo/monstruo-028.png
1,16.9528619529,10.2087542088,8.3569023569,0.297,28.0,monstruo/monstruo-028.png
2,21.152866242,14.3439490446,12.6050955414,0.158,28.0,monstruo/monstruo-028.png
3,25.9903846154,17.3076923077,14.8365384615,0.103,28.0,monstruo/monstruo-028.png
4,31.7457627119,23.0847457627,20.5593220339,0.059,28.0,monstruo/monstruo-028.png
5,38.34375,28.75,26.125,0.032,28.0,monstruo/monstruo-028.png
6,43.7692307692,34.5,32.0,0.026,28.0,monstruo/monstruo-028.png
7,66.3333333333,55.3333333333,52.3333333333,0.003,28.0,monstruo/monstruo-028.png
0,18.7199017199,10.0540540541,7.44963144963,0.407,29.0,monstruo/monstruo-029.png
1,15.8622589532,6.88980716253,4.28650137741,0.363,29.0,monstruo/monstruo-029.png
2,23.8355263158,15.5657894737,13.3552631579,0.152,29.0,monstruo/monstruo-029.png
3,32.4461538462,23.8,20.1230769231,0.065,29.0,monstruo/monstruo-029.png
4,16.3333333333,12.8333333333,54.0,0.006,29.0,monstruo/monstruo-029.png
